probe	geneid
3497056	100861544
3523765	100861543
3602432	100128285
3360759	81274
3318085	387747
2488034	26479
2488036	26479
2849588	100128508
2574938	100131492
2356071	55672
2398347	55672
3753061	100506677
2370395	100287948
3923982	85395
3479719	85395
3800243	85395
3584732	6638
3921724	100506492
3934162	114038
3934903	642852
3924100	114042
3934912	246704
3316234	171391
3360182	143501
2860571	64924
3473691	4842
2997231	402481
3144740	100132183
3510542	445341
3227816	2889
3179341	400949
3152724	1030
3917268	193629
3143071	254958
3143199	254958
3090053	51312
2371729	101929069
2448125	100288079
2448162	101929093
2371865	105371653
2370916	105371644
3996029	643736
2920320	100287366
2941287	266553
3058557	266671
4032715	574
3417788	100130083
3725361	360205
3932039	54748
3324797	196074
2990593	2115
3359424	338653
3124360	66036
3086044	83655
3290437	55847
2620918	83598
3182155	27130
2903320	100294145
2915166	7162
3896015	149830
2919867	105377925
2947820	26531
3029407	26211
2975581	644135
2975635	644135
2653043	254827
2653084	254827
2653047	254827
2644684	83850
3645076	5170
2569881	729164
2365168	100505828
2365171	100505828
3599954	93444
3483126	100132234
3728681	100506779
2469990	100506405
3171603	403323
4050350	403323
3762405	101927253
4054831	389906
4054855	389906
4054928	389906
4054932	389906
4054960	389906
4054962	389906
4055115	389906
4055117	389906
4054957	389906
3354255	100129069
2996470	55025
4043543	55672
4043548	55672
2339995	4919
2855158	101926960
3640443	644192
2853585	646719
2632913	285220
3702683	101928474
3702685	101928474
2852691	81792
2852694	81792
2356491	653519
3071630	157247
4052867	102723769
3429947	101929110
2469998	100506457
2836045	101927115
3821527	7620
3821531	7620
4010473	92249
2477828	6840
2570973	541471
2524612	101669764
2865673	55338
3864216	5670
3864222	5670
3495127	100505538
3252468	101929165
3736465	8632
3736467	8632
2809013	79768
3821429	126070
3057353	548644
3552352	440200
2609818	64419
2609820	64419
2653243	254827
2653245	254827
3728325	79904
3652336	730094
3200134	158295
3077873	27010
3139861	10499
3936652	729461
3952341	729461
3953497	729461
2358066	51177
2648301	4154
4040117	440434
3674771	101060680
3674773	101060680
3895067	10528
3471735	80724
2355833	388677
3016121	100996615
3848976	4670
2774041	53371
2774043	53371
2774045	53371
2774047	53371
3531116	23256
3531118	23256
3531120	23256
2536727	1841
2536729	1841
4046419	1841
4046421	1841
3326438	847
3730759	10238
2734562	5602
2734564	5602
3418245	10540
3418247	10540
2673175	285231
2673177	285231
2673179	285231
3718922	388439
3718973	388439
3719009	388439
3719016	388439
3653062	84516
2610190	55831
2610192	55831
2902719	3305
2902721	3305
3569810	87
3569812	87
2689512	26137
3294428	118491
3336315	254359
2662538	401052
2634011	285359
3598706	5604
2683098	4638
3358946	402778
3358948	402778
3383067	100616198
3940224	2678
3940226	2678
3816881	56926
2627463	100507062
2627465	100507062
3032298	100131012
3032301	100131012
3032303	100131012
2853637	65250
2853639	65250
3246727	104355295
3626799	9133
3626801	9133
2617128	2803
2831864	54882
2831866	54882
3564490	145438
3089394	23516
3319229	51700
3319232	51700
3254511	84293
2523475	79800
3875234	84515
3875236	84515
2453866	148304
2453869	148304
3201294	55958
2993813	441204
2994037	100506311
3386209	26973
3386211	26973
3386213	26973
3386215	26973
2360974	7818
2361098	7818
3965386	9889
3965388	9889
3205069	8434
2422468	149351
2717808	152992
3139574	81796
3139576	81796
2980803	51106
3991739	100506757
3872013	90485
2467168	100506054
3046959	100689074
3857009	100132815
2499299	165055
2499301	165055
2355631	9554
3988419	54521
3555806	84659
3555809	84659
2448069	10625
2448071	10625
2486358	100507073
2486360	100507073
3650257	339044
3650261	339044
2337842	105378749
3626807	9133
3626809	9133
3985281	64860
3252618	253264
2499780	100288570
2499782	100288570
2499784	100288570
2499786	100288570
2499788	100288570
2499790	100288570
2570373	100288570
2570375	100288570
2570377	100288570
2570379	100288570
2570381	100288570
2570383	100288570
2570385	100288570
3712019	9487
2586505	101926913
3173062	100132352
2574966	4648
2432415	9659
2432417	9659
2928908	8504
2358424	54507
2358426	54507
2803953	106660612
2847066	106660612
3885434	100128988
2891989	100508120
2507269	905
2507271	905
3701287	124359
3179302	158314
3168698	100506710
2544058	54454
2521177	101927482
2405362	204
2357040	284561
2357060	284561
2357062	284561
2433903	284561
3649695	440352
3651847	440352
3652180	440352
3652182	440352
3655561	440352
3655563	440352
3681510	440352
3686676	440352
3799063	440352
3684623	440352
2935444	135138
2337039	619518
3704792	100507918
3704794	100507918
3704796	100507918
3676070	9742
3676073	9742
3676075	9742
3116814	100302522
3116816	100302522
3553784	4140
3553787	4140
2694615	57461
2634673	23594
3300339	23594
3554565	23594
3749496	23594
3856972	23594
3889636	101927770
3834640	100505639
2515348	105373738
2853828	105373738
3826778	105373738
3245361	399753
3287597	399753
3288199	399753
3587363	100996255
2790157	201798
2790160	201798
2986699	100507642
2783536	729218
2783540	729218
2606812	101752400
2606814	101752400
3093179	105379362
3093181	105379362
3652641	118460
3684398	118460
3089788	286059
3089797	286059
3328807	56981
3328809	56981
3328815	56981
3186655	5069
3102689	101926892
3953598	84861
3953600	84861
3053934	493754
2505404	80097
2408092	64064
3950665	80305
2987534	100288594
3816542	2788
3816544	2788
3252676	100131213
2954961	101929705
3985886	139231
2999524	55744
2452209	10446
3164344	340485
3537591	55745
2910983	222584
2495028	57730
2963276	101928820
3402364	928
3402372	928
2703823	101928405
2703826	101928405
3654167	400512
2541150	151354
3259712	26148
2406642	9967
2406646	9967
2921482	221272
3371646	6204
3869459	90317
3854104	79086
2918550	101927365
3189790	84253
3131603	157860
3919335	100506385
2682243	100506815
3499026	100885778
2367888	60674
3539050	400221
3257127	355
2363068	50717
3393186	100652768
3009796	113878
3009798	113878
3327124	79899
3555731	101929718
4039689	79999
4039738	79999
3945176	5435
3336640	254439
2446641	100509205
2359105	65005
4036221	100533178
2991847	101927769
4010319	286430
2604714	105373942
3726323	103752589
3605727	100506874
2950703	6136
4030879	401630
2946641	375513
3848014	8740
3792731	79839
3156607	2843
3450987	101930164
4041035	29
3343241	100289518
2395618	80045
2398434	9696
4052648	389831
4053943	389831
2829648	100996485
2663902	101927565
3683843	123879
3683871	55567
3651798	100505915
3651814	100505915
2773579	100507388
2544052	54454
2544054	54454
2544056	54454
2834414	153469
2538035	246243
3851488	90576
2562335	2677
3465851	144481
2949614	720
3072969	100506881
3014291	644975
4050030	101929470
2890851	153577
2890853	153577
3640341	4147
4053232	105378589
3382644	100996578
3893669	54923
3893671	54923
2461425	148641
3638129	101929743
2880507	102546294
3763186	1353
3033272	100286906
3391627	100288346
3244231	100506835
3791051	100996669
2433167	55672
3184925	22949
3843934	100507739
3041369	100775104
3887398	105372633
2434802	56882
3985419	80823
2646846	440982
2874716	3094
2874720	3094
3084848	389634
3705371	100506388
2460470	149373
3280100	100129213
2603225	151475
2949022	102725068
3293558	219690
2924945	55862
2924950	55862
3464825	728084
3782853	147429
3827858	100505835
3216164	158434
2950303	3108
2354132	200162
2354138	200162
2354140	200162
3265129	374354
3784116	284244
